Event	ID	Name			Wwise Object Path	Notes
	581323921	Rail_Grind_Stop			\Player\Rail_Grind_Stop	
	918267603	Rail_Grind_Start			\Player\Rail_Grind_Start	
	1282282006	Player_Landing			\Player\Player_Landing	
	1305133589	Player_Jump			\Player\Player_Jump	
	1310416267	Player_Grows			\Player\Player_Grows	
	1478396515	Player_Checkpoint_ReActv			\Player\Player_Checkpoint_ReActv	
	1730208058	Player_Footsteps			\Player\Player_Footsteps	
	2161713971	Player_Respawn			\Player\Player_Respawn	
	3400834491	Player_Checkpoint			\Player\Player_Checkpoint	
	3721520397	Player_Shrinks			\Player\Player_Shrinks	

Switch Group	ID	Name			Wwise Object Path	Notes
	2385628198	Footsteps			\Default Work Unit\Footsteps	

Switch	ID	Name	Switch Group			Notes
	2144363834	Rock	Footsteps			
	2473969246	Metal	Footsteps			
	4248645337	Grass	Footsteps			

Game Parameter	ID	Name			Wwise Object Path	Notes
	3040674790	Player_Size			\Default Work Unit\Player_Size	

Effect plug-ins	ID	Name	Type				Notes
	1501174592	Small_Stretch	Wwise Time Stretch			
	2481867971	Small_EQ	Wwise Parametric EQ			
	4052205305	Small_Reverb	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	11464898	Respawn_Paper-004	D:\Projects\Game Jams\GMTK-2024\GMTK 2024_WwiseProject\.cache\Windows\SFX\Respawn_Paper-004_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player_Respawn\Respawn_Paper\Respawn_Paper-004		762388
	26071193	SFX_CheckPoint_Chimes-001	D:\Projects\Game Jams\GMTK-2024\GMTK 2024_WwiseProject\.cache\Windows\SFX\SFX_CheckPoint_Chimes-001_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player_Checkpoint\Checkpoint_Chimes\SFX_CheckPoint_Chimes-001		2166952
	29294242	Footstep_02	D:\Projects\Game Jams\GMTK-2024\GMTK 2024_WwiseProject\.cache\Windows\SFX\Footstep_02_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player_Movement\Player_Jump\Metal\Right\Footstep_02		130738
	37759664	SFX_CheckPoint_ReActv_Paper-001	D:\Projects\Game Jams\GMTK-2024\GMTK 2024_WwiseProject\.cache\Windows\SFX\SFX_CheckPoint_ReActv_Paper-001_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player_Checkpoint_ReActv\Checkpoint_ReAvt_Paper\SFX_CheckPoint_ReActv_Paper-001		1014952
	40822885	Footstep_09	D:\Projects\Game Jams\GMTK-2024\GMTK 2024_WwiseProject\.cache\Windows\SFX\Footstep_09_818F3B66.wem		\Actor-Mixer Hierarchy\Player\Player_Movement\Player_Footsteps\Rock\Footstep\Left\Footstep_09		131528
